Sector Zone,VT,Property Name,Property Address,Proposed Used,Available Unit,Size,Gross Rate,Gross
CBD - Downtown,No,Marina Bay Financial Centre Tower 3,12 Marina Boulevard Singapore 018982,Office,#19-01,5942.00,14.00,83188.00
Bugis Rochor,No,Lazada One,51 Bras Basah Road Singapore 189554,Office,#08-04.06,9494.00,10.00,94940.00
Bugis Rochor,No,North Bridge Centre,420 North Bridge Road Singapore 188727,Office,#03-40,603.00,6.30,3798.90
CBD - Downtown,No,Marina Bay Financial Centre Tower 3,12 Marina Boulevard Singapore 018982,Office,#18-06,2433.00,14.00,34062.00
CBD - Downtown,No,Marina Bay Financial Centre Tower 2,10 Marina Boulevard Singapore 018983,Office,#15-02A,2088.00,14.00,29232.00
Bugis Rochor,No,North Bridge Centre,420 North Bridge Road Singapore 188727,Office,#01-04,667.00,11.84,7900.00
Bugis Rochor,No,North Bridge Centre,420 North Bridge Road Singapore 188727,Office,#04-07,431.00,6.50,2801.50
Novena.Newton,No,United Square - Office Tower,101 Thomson Road Singapore 307591,Office,#24-01.05,9537.00,8.80,83925.60
CBD - Shenton Way,No,City House,36 Robinson Road Singapore 068877,Office,#09-03.04,1905.00,8.80,16764.00
CBD - Shenton Way,No,City House,36 Robinson Road Singapore 068877,Office,#08-01.06,7535.00,8.80,66308.00
CBD - Shenton Way,No,61 Robinson,61 Robinson Road Singapore 068893,Office,#13-01,1830.00,11.00,20130.00
CBD - City Hall,Yes,FUNAN Tower 1,109 North Bridge Road Singapore 179097,Office,#09-21.29,10947.00,13.00,142311.00
CBD - City Hall,No,FUNAN Tower 1,109 North Bridge Road Singapore 179097,Office,#07-35,710.42,13.00,9235.46
CBD - Raffles Place,No,Boat Quay Shophouses,78 Circular Road Singapore 049432,Office,78 #03-01,1324.00,5.00,6620.00
Novena.Newton,No,United Square - Office Tower,101 Thomson Road Singapore 307591,Office,#17-05,2174.00,8.80,19131.20
One-North,Yes,Elementum,1 North Buona Vista Link Singapore 139691,Office,#12-02,1776.00,8.20,14563.20
One-North,Yes,Elementum,1 North Buona Vista Link Singapore 139691,Office,#12-01,3025.00,8.20,24805.00
CBD - Raffles Place,No,Royal Group Building,3 Phillip Street Singapore 048693,Office,#09-05,1600.00,9.50,15200.00
CBD - Raffles Place,No,Royal Group Building,3 Phillip Street Singapore 048693,Office,#14-02,807.00,9.50,7666.50
Bugis Rochor,No,Bugis Village Shophouses,63 Queen Street Singapore 188542,Office,63A #02,2121.00,5.00,10605.00
CBD - Shenton Way,No,CapitaSky,79 Robinson Road Singapore 068897,Office,#09-01.10,25119.00,13.00,326547.00
CBD - Downtown,No,Asia Square Tower 2,12 Marina View Singapore 018961,Office,#20-01,4884.00,13.50,65934.00
Bugis Rochor,No,Bugis Village Shophouses,62 Queen Street Singapore 188541,Office,62B #03,936.00,7.00,6552.00
CBD - Shenton Way,Yes,CapitaSky,79 Robinson Road Singapore 068897,Office,#08-01.10,4523.00,13.00,58799.00
Bugis Rochor,No,Bugis Village Shophouses,233 Victoria Street Singapore 188026,Office,233B #03,926.00,7.00,6482.00
CBD - Raffles Place,Yes,CapitaGreen,138 Market Street Singapore 048946,Office,#07-01,5338.00,13.00,69394.00
Bugis Rochor,No,Bugis Village Shophouses,231 Victoria Street Singapore 188025,Office,231B #03,926.00,7.00,6482.00
CBD - Shenton Way,No,CapitaSky,79 Robinson Road Singapore 068897,Office,#08-02.06,12382.00,13.00,160966.00
CBD - Raffles Place,No,Boat Quay Shophouses,76 Circular Road Singapore 049430,Office,76 #02-01,1313.00,5.00,6565.00
CBD - Downtown,No,Asia Square Tower 2,12 Marina View Singapore 018961,Office,#25-04,8717.00,13.50,117679.50
CBD - Shenton Way,No,CapitaSky,79 Robinson Road Singapore 068897,Office,#13-01.10,25300.00,13.00,328900.00
CBD - Raffles Place,Yes,CapitaGreen,138 Market Street Singapore 048946,Office,#03-06,2718.00,13.00,35334.00
Orchard Road,No,Forum,583 Orchard Road Singapore 238884,Office,#07-01,1668.42,7.00,11678.94
CBD - Downtown,Yes,Asia Square Tower 2,12 Marina View Singapore 018961,Office,#19-02,5427.00,13.50,73264.50
CBD - Raffles Place,No,Royal Group Building,3 Phillip Street Singapore 048693,Office,#08-04,2325.00,9.50,22087.50
CBD - Downtown,No,Asia Square Tower 2,12 Marina View Singapore 018961,Office,#18-02,5000.00,13.50,67500.00
CBD - Raffles Place,No,6 Battery Road,6 Battery Road Singapore 049909,Office,#18-05,3843.00,13.50,51880.50
Bugis Rochor,No,Bugis Village Shophouses,64 Queen Street Singapore 188543,Office,64B #03,1378.00,6.00,8268.00
CBD - Raffles Place,No,6 Battery Road,6 Battery Road Singapore 049909,Office,#21-01,4962.00,13.50,66987.00
CBD - Raffles Place,Yes,6 Battery Road,6 Battery Road Singapore 049909,Office,#24-02A,2756.00,13.50,37206.00
Orchard Road,No,Forum,583 Orchard Road Singapore 238884,Office,#16-01,4667.00,6.50,30335.50
CBD - Raffles Place,No,6 Battery Road,6 Battery Road Singapore 049909,Office,#29-04,4833.00,13.50,65245.50
CBD - Downtown,No,Asia Square Tower 2,12 Marina View Singapore 018961,Office,#18-01,3745.00,13.50,50557.50
CBD - Raffles Place,Yes,6 Battery Road,6 Battery Road Singapore 049909,Office,#39-04,4058.00,13.50,54783.00
CBD - Shenton Way,No,CapitaSky,79 Robinson Road Singapore 068897,Office,#11-01.10,25578.00,13.00,332514.00
CBD - Shenton Way,No,CapitaSky,79 Robinson Road Singapore 068897,Office,#10-01.10,25119.00,13.00,326547.00
Bugis Rochor,No,Bugis Village Shophouses,63 Queen Street Singapore 188542,Office,63B #03,2056.00,5.00,10280.00
One-North,Yes,Elementum,1 North Buona Vista Link Singapore 139691,Office,#12-03,2616.00,8.20,21451.20
CBD - Tanjong Pagar,No,Guoco Tower,1 Wallich Street Singapore 078881,Office,#15-01,18331.00,14.00,256634.00
One-North,No,The Metropolis Tower 2,11 North Buona Vista Drive Singapore 138589,Office,#16-07,16824.00,9.20,154780.80
CBD - Raffles Place,No,Samsung Hub,3 Church Street Singapore 049483,Office,#24-04,3358.37,10.50,35262.89
CBD - Raffles Place,No,Republic Plaza 1,9 Raffles Place Singapore 048619,Office,#30-04,1346.00,12.50,16825.00
CBD - Raffles Place,No,Republic Plaza 1,9 Raffles Place Singapore 048619,Office,#34-01,6092.00,12.50,76150.00
CBD - Raffles Place,No,Republic Plaza 1,9 Raffles Place Singapore 048619,Office,#34-01A.02,10818.00,12.50,135225.00
CBD - Raffles Place,No,Republic Plaza 1,9 Raffles Place Singapore 048619,Office,#34-01A.02b,4208.00,12.50,52600.00
CBD - Raffles Place,No,Royal One Phillip,1 Phillip Street Singapore 048692,Office,#14-00,2659.00,9.50,25260.50
CBD - Raffles Place,Yes,Royal One Phillip,1 Phillip Street Singapore 048692,Office,#07-00,2971.00,9.50,28224.50
CBD - Raffles Place,Yes,Samsung Hub,3 Church Street Singapore 049483,Office,#15-03,3875.04,10.50,40687.92
CBD - Raffles Place,Yes,Samsung Hub,3 Church Street Singapore 049483,Office,#23-02.03.04,6845.90,10.50,71881.95
CBD - Raffles Place,Yes,Samsung Hub,3 Church Street Singapore 049483,Office,#24-02,861.00,10.50,9040.50
CBD - Shenton Way,Yes,SGX Centre 2,4 Shenton Way Singapore 068807,Office,#14-01,960.00,9.50,9120.00
CBD - Raffles Place,No,Republic Plaza 1,9 Raffles Place Singapore 048619,Office,#25-01A,2228.00,12.50,27850.00
CBD - Clarke Quay,Yes,Havelock II,2 Havelock Road Singapore 059763,Office,#07-06,1087.00,8.00,8696.00
Beach Road,No,Beach Road Shophouses,723 North Bridge Road Singapore 198691,Office,723A #02,1501.00,6.33,9500.00
CBD - Tanjong Pagar,No,ABI Plaza,11 Keppel Road Singapore 089057,Office,#09,3014.00,8.50,25619.00
CBD - Downtown,Yes,One Raffles Quay North Tower,1 Raffles Quay Singapore 048583,Office,#30-03,2487.00,14.00,34818.00
Orchard Road,Yes,Visioncrest Commercial,103 Penang Road Singapore 238467,Office,TBA,14478.00,9.00,130302.00
CBD - Tanjong Pagar,No,Anson House,72 Anson Road Singapore 079911,Office,#05-01,1292.00,9.30,12015.60
CBD - Shenton Way,No,Amoy Street Shophouses,41 Amoy Street Singapore 069867,Office,41B #03,1200.00,5.75,6900.00
CBD - Shenton Way,Yes,SGX Centre 1,2 Shenton Way Singapore 068804,Office,#08-01,2918.00,9.00,26262.00
Beach Road,No,Gateway East,152 Beach Road Singapore 189721,Office,TBA,3100.00,9.00,27900.00
CBD - Promenade,No,Suntec Tower Four,6 Temasek Boulevard Singapore 038986,Office,#13-01.05,13928.00,11.00,153208.00
CBD - Shenton Way,No,SBF Centre,160 Robinson Road Singapore 068914,Office,#24-08,947.00,10.00,9470.00
CBD - Raffles Place,No,Samsung Hub,3 Church Street Singapore 049483,Office,#10,3000.00,10.50,31500.00
East,No,ARC 380,380 Jalan Besar Singapore 209000,Office,#11-02,700.00,7.00,4900.00
