Sector Zone,VT,Property Name,Property Address,Proposed Used,Available Unit,Size,Gross Rate,Gross
CBD - Tanjong Pagar,No,Amara Corporate Tower,165 Tanjong Pagar Road Singapore 088539,Office,#13-02,1033.00,15.00,15495.00
CBD - Downtown,No,Marina Bay Financial Centre Tower 3,12 Marina Boulevard Singapore 018982,Office,TBA,15000.00,14.00,210000.00
CBD - Tanjong Pagar,No,Amara Corporate Tower,165 Tanjong Pagar Road Singapore 088539,Office,#11-01.02.03,4047.00,10.00,40470.00
CBD - Tanjong Pagar,No,Amara Corporate Tower,165 Tanjong Pagar Road Singapore 088539,Office,#09-03,753.00,15.00,11295.00
CBD - Shenton Way,No,Amoy Street Shophouses,43 Amoy Street Singapore 069869,Office,43A #02,1000.00,6.50,6500.00
CBD - Raffles Place,No,Capital Square 2,21 Church Street Singapore 049480,Office,#03-01,2734.00,8.00,21872.00
West,No,CPF Jurong Building,21 Jurong Gateway Road Singapore 608546,Office,#04-03,731.95,5.80,4245.31
Beach Road,No,Beach Road Shophouses,707 North Bridge Road Singapore 198680,Office,707,2250.00,6.22,14000.00
Beach Road,No,Beach Road Shophouses,705 North Bridge Road Singapore 198679,Office,705,2304.00,6.29,14500.00
Orchard Road,No,Tripleone Somerset,111 Somerset Road Singapore 238164,Office,TBA,3412.00,9.50,32414.00
CBD - Raffles Place,Yes,Capital Square,23 Church Street Singapore 049481,Office,#06-08,9774.00,12.00,117288.00
CBD - Promenade,No,Suntec Tower Five,5 Temasek Boulevard Singapore 038985,Office,#04-01A,1023.00,11.00,11253.00
CBD - Promenade,No,Suntec Tower Five,5 Temasek Boulevard Singapore 038985,Office,#11-02,2443.00,11.00,26873.00
CBD - Raffles Place,Yes,Capital Square,23 Church Street Singapore 049481,Office,#10-12.13,2616.00,12.00,31392.00
Novena.Newton,No,Novena Square Tower A,238A Thomson Road Singapore 307684,Office,#12-08.10,4015.00,9.50,38142.50
CBD - Raffles Place,Yes,Capital Square,23 Church Street Singapore 049481,Office,#10-01.06,14036.00,12.00,168432.00
West,No,CPF Jurong Building,21 Jurong Gateway Road Singapore 608546,Office,#02-03,972.20,5.80,5638.76
West,No,CPF Jurong Building,21 Jurong Gateway Road Singapore 608546,Office,#04-04,753.48,5.80,4370.18
CBD - Clarke Quay,No,Havelock II,2 Havelock Road Singapore 059763,Office,#04-11,818.00,8.00,6544.00
CBD - Clarke Quay,No,Havelock II,2 Havelock Road Singapore 059763,Office,#06-20,452.00,8.00,3616.00
CBD - Clarke Quay,No,Havelock II,2 Havelock Road Singapore 059763,Office,#07-02,1593.00,8.00,12744.00
